,titular,diario,fecha,todo
394,"El PSOE asume el batacazo en Madrid : "" Hemos sufrido una derrota que no esperábamos "" ",El Mundo,2021-05-05,"El PSOE asume el batacazo en Madrid : "" Hemos sufrido una derrota que no esperábamos ""  (El Mundo, 2021-05-05) | "
395,"Carmen Calvo usa la victoria de Ayuso para atacar a Casado : "" Queda claro que es el dos del PP "" ",El Español,2021-05-05,"Carmen Calvo usa la victoria de Ayuso para atacar a Casado : "" Queda claro que es el dos del PP ""  (El Español, 2021-05-05) | "
396,"Arrimadas no dimite , promete “ relanzar ” Ciudadanos y achaca su batacazo a la polarización",El Español,2021-05-05,"Arrimadas no dimite , promete “ relanzar ” Ciudadanos y achaca su batacazo a la polarización (El Español, 2021-05-05) | "
397,"Ley de mercado abierto , golpe a la ' armonización fiscal ' y voz del PP en los fondos europeos : la economía tras el 4M",El Español,2021-05-05,"Ley de mercado abierto , golpe a la ' armonización fiscal ' y voz del PP en los fondos europeos : la economía tras el 4M (El Español, 2021-05-05) | "
398,Pedro Sánchez activa una operación estética tras el golpe de las elecciones en Madrid,La Razón,2021-05-06,"Pedro Sánchez activa una operación estética tras el golpe de las elecciones en Madrid (La Razón, 2021-05-06) | "
399,La hecatombe en Madrid abre una nueva guerra en el PSOE con Gabilondo y Franco en el disparadero,eldiario.es,2021-05-05,"La hecatombe en Madrid abre una nueva guerra en el PSOE con Gabilondo y Franco en el disparadero (eldiario.es, 2021-05-05) | "
400,"Despedida en dos actos de Pablo Iglesias , el hombre que se propuso asaltar los cielos y consiguió ser vicepresidente del Gobierno",eldiario.es,2021-05-05,"Despedida en dos actos de Pablo Iglesias , el hombre que se propuso asaltar los cielos y consiguió ser vicepresidente del Gobierno (eldiario.es, 2021-05-05) | "
401,Una gestora dirigirá el PSOE de Madrid tras dimitir Franco como secretario general,El Confidencial,2021-05-06,"Una gestora dirigirá el PSOE de Madrid tras dimitir Franco como secretario general (El Confidencial, 2021-05-06) | "
403,Iglesias elevó el trasvase de votos al PP al plantear el debate democracia - fascismo,ABC,2021-05-05,"Iglesias elevó el trasvase de votos al PP al plantear el debate democracia - fascismo (ABC, 2021-05-05) | "
404,La batalla de los nuevos maquiavelos,ABC,2021-05-05,"La batalla de los nuevos maquiavelos (ABC, 2021-05-05) | "
405,José Manuel Franco presenta su dimisión como secretario general del PSOE de Madrid,El País,2021-05-06,"José Manuel Franco presenta su dimisión como secretario general del PSOE de Madrid (El País, 2021-05-06) | "
406,"Iglesias y Monasterio son los responsables de la crispación de la campaña madrileña , según el CIS",El País,2021-05-06,"Iglesias y Monasterio son los responsables de la crispación de la campaña madrileña , según el CIS (El País, 2021-05-06) | "
411,"Dimite José Manuel Franco , líder del PSOE de Madrid , por el batacazo del 4M",eldiario.es,2021-05-06,"Dimite José Manuel Franco , líder del PSOE de Madrid , por el batacazo del 4M (eldiario.es, 2021-05-06) | "
417,Franco deja la secretaría general del PSOE de Madrid tras el 4 - M : una gestora dirigirá el partido,El Español,2021-05-06,"Franco deja la secretaría general del PSOE de Madrid tras el 4 - M : una gestora dirigirá el partido (El Español, 2021-05-06) | "
424,Elecciones en Madrid José Manuel Franco dimite como secretario general del PSOE de Madrid y Ferraz nombrará una gestora,Público,2021-05-06,"Elecciones en Madrid José Manuel Franco dimite como secretario general del PSOE de Madrid y Ferraz nombrará una gestora (Público, 2021-05-06) | "
